frameNumber,navy blue star,violet star,brown star,pink star,sky blue star,orange star,yellow star,yellow heart,orange circle,violet circle,brown circle,violet heart,green star,green heart,green circle,pink circle
3060,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3090,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3120,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3150,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3180,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3210,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3240,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3270,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3300,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3330,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3360,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3390,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3420,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3450,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3480,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3510,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3540,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3570,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3600,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3630,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3660,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3690,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3720,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3750,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3780,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3810,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3840,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3870,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3900,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3930,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3960,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
3990,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4020,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4050,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4080,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4110,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4140,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4170,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4200,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4230,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4260,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4290,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4320,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4350,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4380,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4410,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4440,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4470,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4500,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4530,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4560,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4590,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4620,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4650,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4680,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4710,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4740,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4770,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4800,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4830,nan,nan,nan,nan,Eating,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan
4860,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4890,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4920,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4950,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4980,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5010,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5040,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5070,nan,nan,nan,nan,Eating,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
